관리기관명,소재지지번주소,소재지도로명주소,카메라대수,카메라화소,촬영방면,보관일수,설치연도,위도,경도,데이터기준일자
광주광역시 사회재난과,북구 용봉동 1248-6,북구 설죽로202번길 9,2,200만,360도,30일,2022,35.177586,126.898161,2025-12-31
광주광역시 사회재난과,북구 용봉동 1248-6,북구 설죽로202번길 9,1,200만,360도,30일,2019,35.177586,126.898161,2025-12-31
광주광역시 사회재난과,북구 각화동 149-8,,2,200만,360도,30일,2022,35.180239,126.938547,2025-12-31
광주광역시 사회재난과,북구 각화동 337,북구 동문대로248번길 38,2,200만,360도,30일,2022,35.183077,126.935711,2025-12-31
광주광역시 사회재난과,북구 각화동 337,북구 동문대로248번길 38,2,200만,360도,30일,2022,35.183077,126.935711,2025-12-31
광주광역시 사회재난과,북구 각화동 570-19,북구 군왕로207번길 57-1,2,200만,360도,30일,2022,35.180334,126.933086,2025-12-31
광주광역시 사회재난과,북구 각화동 570-19,북구 군왕로207번길 57-1,2,200만,360도,30일,2022,35.180334,126.933086,2025-12-31
광주광역시 사회재난과,북구 각화동 60,북구 각화대로 103-39,1,200만,360도,30일,2024,35.179616,126.945421,2025-12-31
광주광역시 사회재난과,북구 각화동 60,북구 각화대로 103-39,1,200만,360도,30일,2024,35.179616,126.945421,2025-12-31
광주광역시 사회재난과,북구 본촌동 2990,,2,200만,360도,30일,2022,35.215098,126.880692,2025-12-31
광주광역시 사회재난과,북구 금곡동 275-12,,1,200만,360도,30일,2024,35.169438,126.999021,2025-12-31
광주광역시 사회재난과,북구 금곡동 275-12,,1,200만,360도,30일,2018,35.169438,126.999021,2025-12-31
광주광역시 사회재난과,북구 금곡동 275-12,,1,200만,360도,30일,2019,35.169438,126.999021,2025-12-31
광주광역시 사회재난과,북구 금곡동 848-1,,1,200만,360도,30일,2022,35.148129,126.987386,2025-12-31
광주광역시 사회재난과,북구 금곡동 848-1,,1,200만,360도,30일,2025,35.148129,126.987386,2025-12-31
광주광역시 사회재난과,북구 금곡동 902-3,,2,200만,360도,30일,2022,35.164794,126.979646,2025-12-31
광주광역시 사회재난과,북구 누문동 144-5,북구 천변우로283번길 36,2,200만,360도,30일,2022,35.154822,126.906511,2025-12-31
광주광역시 사회재난과,북구 누문동 144-5,북구 천변우로283번길 36,2,200만,360도,30일,2024,35.154822,126.906511,2025-12-31
광주광역시 사회재난과,북구 동림동 274-2,북구 유림로 140,1,200만,360도,30일,2018,35.174759,126.864104,2025-12-31
광주광역시 사회재난과,북구 동림동 274-2,북구 유림로 140,3,200만,360도,30일,2020,35.174759,126.864104,2025-12-31
광주광역시 사회재난과,북구 동림동 37-54,,1,200만,360도,30일,2023,35.186443,126.866621,2025-12-31
광주광역시 사회재난과,북구 동림동 915-31,,2,200만,360도,30일,2022,35.174993,126.858125,2025-12-31
광주광역시 사회재난과,북구 두암동 166-1,북구 탁영로 21,1,200만,360도,30일,2022,35.166931,126.935374,2025-12-31
광주광역시 사회재난과,북구 두암동 166-1,북구 탁영로 21,2,200만,360도,30일,2024,35.166931,126.935374,2025-12-31
광주광역시 사회재난과,북구 두암동 21-5,북구 월동로 70-1,2,200만,360도,30일,2022,35.177482,126.936834,2025-12-31
광주광역시 사회재난과,북구 두암동 21-5,북구 월동로 70-1,2,200만,360도,30일,2023,35.177482,126.936834,2025-12-31
광주광역시 사회재난과,북구 두암동 310-17,북구 밤실로 207,2,200만,360도,30일,2019,35.165481,126.933098,2025-12-31
광주광역시 사회재난과,북구 두암동 310-17,북구 밤실로 207,1,200만,360도,30일,2022,35.165481,126.933098,2025-12-31
광주광역시 사회재난과,북구 두암동 310-17,북구 밤실로 207,1,200만,360도,30일,2023,35.165481,126.933098,2025-12-31
광주광역시 사회재난과,북구 두암동 327-12,북구 두방길 89-1,1,200만,360도,30일,2022,35.165632,126.930726,2025-12-31
광주광역시 사회재난과,북구 두암동 327-12,북구 두방길 89-1,1,200만,360도,30일,2023,35.165632,126.930726,2025-12-31
광주광역시 사회재난과,북구 두암동 460-2,북구 면앙로 214-1,2,200만,360도,30일,2022,35.174641,126.934973,2025-12-31
광주광역시 사회재난과,북구 두암동 460-2,북구 면앙로 214-1,1,200만,360도,30일,2022,35.174641,126.934973,2025-12-31
광주광역시 사회재난과,북구 두암동 560-27,북구 문화소통로302번길 49,1,200만,360도,30일,2018,35.181021,126.928237,2025-12-31
광주광역시 사회재난과,북구 두암동 560-27,북구 문화소통로302번길 49,1,200만,360도,30일,2018,35.181021,126.928237,2025-12-31
광주광역시 사회재난과,북구 두암동 560-27,북구 문화소통로302번길 49,1,200만,360도,30일,2023,35.181021,126.928237,2025-12-31
광주광역시 사회재난과,북구 두암동 571-8,북구 동문대로168번길 26,2,200만,360도,30일,2013,35.176944,126.930193,2025-12-31
광주광역시 사회재난과,북구 두암동 571-8,북구 동문대로168번길 26,2,200만,360도,30일,2019,35.176944,126.930193,2025-12-31
광주광역시 사회재난과,북구 두암동 573-3,북구 면앙로155번길 35,1,200만,360도,30일,2023,35.177813,126.929596,2025-12-31
광주광역시 사회재난과,북구 두암동 573-3,북구 면앙로155번길 35,1,200만,360도,30일,2024,35.177813,126.929596,2025-12-31
광주광역시 사회재난과,북구 두암동 581-33,북구 면앙로 177,2,200만,360도,30일,2024,35.175775,126.931115,2025-12-31
광주광역시 사회재난과,북구 두암동 590-1,북구 두리봉길 26,1,200만,360도,30일,2020,35.17818,126.9321,2025-12-31
광주광역시 사회재난과,북구 두암동 590-1,북구 두리봉길 26,2,200만,360도,30일,2024,35.17818,126.9321,2025-12-31
광주광역시 사회재난과,북구 두암동 590-1,북구 두리봉길 26,1,200만,360도,30일,2024,35.17818,126.9321,2025-12-31
광주광역시 사회재난과,북구 두암동 588-5,북구 군왕로171번길 10-7,3,200만,360도,30일,2024,35.177161,126.933254,2025-12-31
광주광역시 사회재난과,북구 두암동 592-20,북구 군왕로193번길 13-2,1,200만,360도,30일,2020,35.17853,126.933819,2025-12-31
광주광역시 사회재난과,북구 두암동 592-20,북구 군왕로193번길 13-2,1,200만,360도,30일,2023,35.17853,126.933819,2025-12-31
광주광역시 사회재난과,북구 두암동 592-20,북구 군왕로193번길 13-2,1,200만,360도,30일,2024,35.17853,126.933819,2025-12-31
광주광역시 사회재난과,북구 두암동 828-18 ,북구 금녕길 42,1,200만,360도,30일,2018,35.17271,126.930601,2025-12-31
광주광역시 사회재난과,북구 두암동 828-18 ,북구 금녕길 42,1,200만,360도,30일,2022,35.17271,126.930601,2025-12-31
광주광역시 사회재난과,북구 두암동 828-18 ,북구 금녕길 42,1,200만,360도,30일,2023,35.17271,126.930601,2025-12-31
광주광역시 사회재난과,북구 두암동 828-18 ,북구 금녕길 42,1,200만,360도,30일,2024,35.17271,126.930601,2025-12-31
광주광역시 사회재난과,북구 두암동 828-26,북구 금녕길 56,2,200만,360도,30일,2022,35.17412,126.930837,2025-12-31
광주광역시 사회재난과,북구 두암동 831-6,북구 동문대로112번길 94,2,200만,360도,30일,2022,35.174778,126.930125,2025-12-31
광주광역시 사회재난과,북구 두암동 831-6,북구 동문대로112번길 94,1,200만,360도,30일,2022,35.174778,126.930125,2025-12-31
