위도,경도,타입
35.153206,126.905273,가로등
35.1530471,126.9054696,가로등
35.152855,126.905731,가로등
35.152668,126.905991,가로등
35.152477,126.906258,가로등
35.152287,126.906502,가로등
35.152088,126.906792,가로등
35.151909,126.907021,가로등
35.151775,126.907188,가로등
35.151756,126.907509,가로등
35.151932,126.907738,가로등
35.152088,126.907951,가로등
35.152298,126.908188,가로등
35.1525,126.90844,가로등
35.152637,126.908638,가로등
35.152813,126.908859,가로등
35.1529829,126.9090458,가로등
35.153202,126.90934,가로등
35.153416,126.909584,가로등
35.153587,126.90979,가로등
35.1539234,126.9101126,가로등
35.1540877,126.9103055,가로등
35.1543094,126.9105778,가로등
35.1544946,126.9107865,가로등
35.154698,126.9110275,가로등
35.1549059,126.9112675,가로등
35.1551217,126.9115209,가로등
35.1553303,126.9117461,가로등
35.1555294,126.9119858,가로등
35.1568406,126.905064,가로등
35.156708,126.9052689,가로등
35.156582,126.9054574,가로등
35.1564296,126.9056946,가로등
35.1562577,126.9059549,가로등
35.1561258,126.9061568,가로등
35.1559914,126.9063508,가로등
35.1558416,126.9065916,가로등
35.155712,126.9067801,가로등
35.1555579,126.9070119,가로등
35.1554092,126.9072223,가로등
35.1552525,126.9074606,가로등
35.1551261,126.9076665,가로등
35.1549698,126.9079009,가로등
35.1548058,126.9081531,가로등
35.1546487,126.9083769,가로등
35.1545096,126.9085855,가로등
35.1543237,126.9088699,가로등
35.1541886,126.9090708,가로등
35.1540165,126.9093279,가로등
35.1538598,126.9095601,가로등
35.153713,126.9097674,가로등
35.16179099,126.9348741,가로등
35.1539322,126.9100079,가로등
35.1540932,126.9097436,가로등
35.1542594,126.9094953,가로등
35.1544216,126.9092663,가로등
35.1546148,126.9089736,가로등
35.1547708,126.9087446,가로등
35.154934,126.9084738,가로등
35.1550513,126.9083053,가로등
35.1551802,126.9081116,가로등
35.1553289,126.9078731,가로등
35.1554567,126.9076954,가로등
35.1556025,126.9074786,가로등
35.1830784,126.8982921,가로등
35.1557665,126.9072266,가로등
35.1559509,126.9069516,가로등
35.1561094,126.9067306,가로등
35.1562351,126.9065096,가로등
35.1563694,126.9063197,가로등
35.1565028,126.9061153,가로등
